zipcode,street_address,city,store_name,store_no,zip_state,distance
4073,1900 Main Street,Sanford,Sanford Lowe's,2388,ME,31.2
3818,32 Mountain Valley Boulevard,North Conway,N. Conway Lowe's,2374,NH,53.6
3561,1037 Meadow Street,Littleton,Littleton Lowe's,2321,NH,28.2
4062,64 Manchester Drive,Windham,N. Windham Lowe's,2629,ME,53.1
4102,1058 BRIGHTON AVENUE,Portland,Portland Lowe's,1946,ME,61.8
4074,1000 GALLERY BOULEVARD,Scarborough,Scarborough Lowe's,2407,ME,62.3
5452,10 SUSIE WILSON RD,Essex Junction,Essex Lowe's,2693,VT,71.4
5403,189 Hannaford Drive,South Burlington,South Burlington Lowe's,1913,VT,72.6
4210,650 Turner Street,Auburn,Auburn Lowe's,2514,ME,71.5
4330,53 Crossing Way,Augusta,Augusta Lowe's,2265,ME,69
4011,250 BATH ROAD,Brunswick,Brunswick Lowe's,2536,ME,74.5
12901,39 Centre Drive,Plattsburgh,Plattsburgh Lowe's,1195,NY,99.1
4861,164 New County Road,Thomaston,Thomaston Lowe's,2496,ME,48.9
4412,15 Arista Drive,Brewer,Brewer Lowe's,2291,ME,72.9
4401,70 Springer Drive,Bangor,Bangor Lowe's,1940,ME,73
4769,135 Maysville Street,Presque Isle,Presque Isle Lowe's,2209,ME,81
12010,4825 State Highway 30,Amsterdam,Amsterdam Lowe's,1880,NY,52.4
13676,61 Country Lane,Potsdam,Potsdam Lowe's,2250,NY,88.7
13669,2001 Ford Street Extension,Ogdensburg,Ogdensburg Lowe's,2401,NY,107.4
6450,1201 EAST MAIN ST,Meriden,Lowe's Outlet Meriden,3567,CT,17.9
6492,1094 North Colony Road,Wallingford,Wallingford Lowe's,2288,CT,19.2
6513,115 FOXON BLVD.,New Haven,New Haven Lowe's,593,CT,30.9
6810,67 Eagle Road,Danbury,Danbury Lowe's,2544,CT,39.2
11901,1461 Old Country Road,Riverhead,Riverhead - South Lowe's,2921,NY,35.4
6460,311 Old Gate Lane,Milford,Milford Lowe's,2658,CT,38.9
6418,496 New Haven Avenue,Derby,Derby Lowe's,2327,CT,8.7
6850,100 Connecticut Ave,Norwalk,Norwalk Lowe's,3248,CT,24.5
10598,3200 CROMPOND ROAD,Yorktown,Yorktown Lowe's,3360,NY,26.2
